letters,Non letters
,NA,NA
number of pixels,0.477698197783822,1.71719690671269
rows with 1 black pixel,1.29987301068557,2.44061601488911
cols with 1 black pixel,2.15173965325398,1.09240056087907
rows with 3 or more black pixels,0.451028753151847,0.478231475353563
cols with 3 or more black pixels,0.584188633700358,0.346795093899213
Aspect ratio,0.536586130526088,-0.606423732728143
neighbours with 1 black pixel,0.965101738831542,0.770045704525225
no above neighbours with black pixels,1.11320160380722,-0.660838430307677
no below neighbours with black pixels,1.43442060323094,-0.48729170771735
no left neighbours with black pixels,0.305963789009138,0.174256790913291
no right neighbours with black pixels,-0.285886167765729,0.174256790913291
no horiz neighbours with black pixels,0.721440527479091,1.00656172615924
no vert neighbours with black pixels,2.36922872944535,0.803117476893491
connected areas,1.47196307459418,-0.689502974505442
eyes,0.400617605886003,NA
custom,0.60480804639004,-0.0817629076879872
