nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,custom
nr_pix,1,-0.560772831654629,-0.315202522464942,0.791192236131622,0.65531196115583,0.269571627306959,-0.527050327333203,0.389727090696061,0.424176499793639,0.231560393400329,0.280120977333651,-0.553150627155072,-0.358053169710477,0.145949593388422,-0.00163681786977669,0.501925417594076
rows_with_1,-0.560772831654629,1,0.207035455208266,-0.510416362485537,-0.564557120141778,-0.378574921448126,0.523587860028027,-0.441019648468703,-0.453589251278584,-0.0323656881775361,-0.0553913840442228,0.742534541253825,0.12313225369774,-0.270103507624037,-0.0100293257290323,-0.471405423572228
cols_with_1,-0.315202522464942,0.207035455208266,1,-0.350753506750998,-0.0573103874448153,0.327826371989346,0.626215670880578,0.23872825194202,0.190119014810446,-0.0251427661618255,-0.071453618294953,0.315585769236829,0.496193931135886,0.382306581144611,-0.283442586275368,0.199781819588198
rows_with_3p,0.791192236131622,-0.510416362485537,-0.350753506750998,1,0.402396330796632,0.0457490157625368,-0.514847694666181,0.106749689008437,0.146787162123392,0.217289604365177,0.327954430809069,-0.514602883750896,-0.37686592917844,-0.090126433347658,0.0521398650204921,0.223216486016625
cols_with_3p,0.65531196115583,-0.564557120141778,-0.0573103874448153,0.402396330796632,1,0.790546208190391,-0.366057083046784,0.824129077995369,0.851090762684845,-0.154658598991288,-0.136858762943961,-0.411454790200829,0.0863382679997283,0.487625011029582,0.0717415915166359,0.890637597934478
aspect_ratio,0.269571627306959,-0.378574921448126,0.327826371989346,0.0457490157625368,0.790546208190391,1,0.0138539626841952,0.874215236937373,0.873668511045772,-0.327088011048489,-0.381546865929489,-0.146609945676363,0.402740091243,0.56714810083652,-0.0609080782225979,0.906651370928932
neigh_1,-0.527050327333203,0.523587860028027,0.626215670880578,-0.514847694666181,-0.366057083046784,0.0138539626841952,1,-0.0576067991593027,-0.0998973852648177,-0.00424501371911756,-0.0619834609627981,0.549348544101317,0.411588828637166,0.166609793311291,-0.241570292973049,-0.132159742117281
no_neigh_above,0.389727090696061,-0.441019648468703,0.23872825194202,0.106749689008437,0.824129077995369,0.874215236937373,-0.0576067991593027,1,0.973310298355819,-0.197609352552759,-0.223134106076922,-0.32467041460201,0.253888199547877,0.777236376498755,-0.255933208935167,0.90547974560804
no_neigh_below,0.424176499793639,-0.453589251278584,0.190119014810446,0.146787162123392,0.851090762684845,0.873668511045772,-0.0998973852648177,0.973310298355819,1,-0.211840556983199,-0.2344975014655,-0.341657129098266,0.240093445191495,0.741554661866791,-0.188278424141481,0.916236420635747
no_neigh_left,0.231560393400329,-0.0323656881775361,-0.0251427661618255,0.217289604365177,-0.154658598991288,-0.327088011048489,-0.00424501371911756,-0.197609352552759,-0.211840556983199,1,0.859115751414752,0.0511640436157361,-0.418641464761197,0.0364912798872318,-0.218656912152975,-0.179786215771323
no_neigh_right,0.280120977333651,-0.0553913840442228,-0.071453618294953,0.327954430809069,-0.136858762943961,-0.381546865929489,-0.0619834609627981,-0.223134106076922,-0.2344975014655,0.859115751414752,1,-0.00344436053399668,-0.462709912892303,0.0313279991876919,-0.164471995735382,-0.21113029610249
no_neigh_horiz,-0.553150627155072,0.742534541253825,0.315585769236829,-0.514602883750896,-0.411454790200829,-0.146609945676363,0.549348544101317,-0.32467041460201,-0.341657129098266,0.0511640436157361,-0.00344436053399668,1,0.378447318240282,-0.233734070984542,0.216314782910649,-0.297906256017856
no_neigh_vert,-0.358053169710477,0.12313225369774,0.496193931135886,-0.37686592917844,0.0863382679997283,0.402740091243,0.411588828637166,0.253888199547877,0.240093445191495,-0.418641464761197,-0.462709912892303,0.378447318240282,1,0.150213369786281,0.177289447412335,0.229380205420489
connected_areas,0.145949593388422,-0.270103507624037,0.382306581144611,-0.090126433347658,0.487625011029582,0.56714810083652,0.166609793311291,0.777236376498755,0.741554661866791,0.0364912798872318,0.0313279991876919,-0.233734070984542,0.150213369786281,1,-0.481481481481481,0.608840416378696
eyes,-0.00163681786977669,-0.0100293257290323,-0.283442586275368,0.0521398650204921,0.0717415915166359,-0.0609080782225979,-0.241570292973049,-0.255933208935167,-0.188278424141481,-0.218656912152975,-0.164471995735382,0.216314782910649,0.177289447412335,-0.481481481481481,1,-0.0915742666030895
custom,0.501925417594076,-0.471405423572228,0.199781819588198,0.223216486016625,0.890637597934478,0.906651370928932,-0.132159742117281,0.90547974560804,0.916236420635747,-0.179786215771323,-0.21113029610249,-0.297906256017856,0.229380205420489,0.608840416378696,-0.0915742666030895,1
